value,formattedValue,topic_title,topic_type,keyword
78450,Aumento,Generador de imágenes de IA,Aplicación,ia
22000,Aumento,Marcela Mistral,Presentadora de televisión ‧ Esposa de Poncho de Nigris,ia
14650,Aumento,Leonardo Interactive Pty Ltd,Empresa,ia
200,+200 %,NSFW,Tema,ia
50,+50 %,Renderización,Categoría de software,ia
40,+40 %,Censura,Tema,ia
2043300,Aumento,Marketing,Tema,search engine optimization
58600,Aumento,Tasa de rebote,Tema,analytics
42800,Aumento,Propiedad,Tema,analytics
35250,Aumento,Cualificación profesional,Título universitario,analytics
34450,Aumento,Universidad Harvard,"Universidad privada en Cambridge, Massachusetts",analytics
31800,Aumento,Honeywell XNX XNX-RMAV-NNIV1 Universal Transmitter,Detector de gas,analytics
28850,Aumento,Hootsuite,Empresa,analytics
16200,Aumento,Mapa de calor,Tema,analytics
15900,Aumento,Púrpura Analytics,"Oficinas de empresa en Mérida, México",analytics
15750,Aumento,Carrera profesional,Tema,analytics
11650,Aumento,Indicador clave de rendimiento,Tema,analytics
1000,"+1,000 %",Radiotransmisor,Tema,analytics
350,+350 %,Análisis web,Tema,analytics
180,+180 %,React,Aplicación,analytics
160,+160 %,Entrenamiento,Tema,analytics
160,+160 %,Cognos,Compañía,analytics
150,+150 %,Salesforce.com,Empresa,analytics
140,+140 %,Red social,Campo de estudio,analytics
100,+100 %,XNXX,Sitio web,analytics
100,+100 %,Honeywell Analytics,Tema,analytics
90,+90 %,Honeywell Analytics,Empresa,analytics
60,+60 %,Informe,Tema,analytics
40,+40 %,Usuario,Informática,analytics
768650,Aumento,Software,Tema,web development
430450,Aumento,Flutter,Software,web development
226350,Aumento,Proyecto,Tema,web development
250,+250 %,Proceso para el desarrollo de software,Tema,web development
140,+140 %,Aplicación informática,Tipo de software,web development
47800,Aumento,Palworld,Videojuego,technology
45050,Aumento,Globalización,Tema,technology
44950,Aumento,Smart Technologies,Cadena de software,technology
35200,Aumento,Seguridad,Tema,technology
32600,Aumento,Dell,Tema,technology
30700,Aumento,Industria farmacéutica,Tema,technology
29150,Aumento,Smart Tech,Tema,technology
25550,Aumento,NACHI TECHNOLOGY MEXICO SA DE CV,"Fábrica en Parque Industrial Aerotech, México",technology
450,+450 %,Micron Technology,Empresa,technology
300,+300 %,Cantón,Ciudad en China,technology
250,+250 %,KTH Real Instituto de Tecnología,"Universidad en Estocolmo, Suecia",technology
200,+200 %,ZF Suspension Technology Guadalajara S.A. de C.V.,Tema,technology
190,+190 %,Instituto tecnológico,Tipo de escuela,technology
150,+150 %,Intel,Tema,technology
140,+140 %,Micron,Tema,technology
120,+120 %,Definitive Technology,Tema,technology
120,+120 %,Hong Kong,Región administrativa especial,technology
50,+50 %,Intel Rapid Storage Technology,Tema,technology
